Value;Average;W_val;W_avg
8409523;8409523;1;1
8409568;8409545;1;1
8409593;8409561;1;1
8409526;8409552;1;1
8409353;8409512;0;0
8409131;8409449;0;0
8409091;8409397;0;0
8409085;8409358;0;0
8409090;8409328;0;0
8409093;8409305;0;0
8409077;8409284;0;0
8409082;8409267;0;0
8409081;8409253;0;0
8409081;8409241;0;0
8409091;8409231;0;0
8409093;8409222;0;0
8409108;8409215;0;0
8409100;8409209;0;0
8409095;8409203;0;0
8409087;8409197;0;0
8409087;8409192;0;0
8409093;8409187;0;0
8409096;8409183;0;0
8409097;8409180;0;0
8409098;8409176;0;0
8409098;8409173;0;0
8409082;8409170;0;0
8409088;8409167;0;0
8409097;8409164;0;0
8409099;8409162;0;0
8409096;8409160;0;0
8409099;8409158;0;0
8409094;8409156;0;0
8409082;8409154;0;0
8409097;8409152;0;0
8409095;8409151;0;0
8409094;8409149;0;0
8409095;8409148;0;0
8409093;8409146;0;0
8409069;8409144;0;0
8409081;8409143;0;0
8409095;8409142;0;0
8409082;8409140;0;0
8409090;8409139;0;0
8409087;8409138;0;0
8409096;8409137;0;0
8409077;8409136;0;0
8409078;8409135;0;0
8409066;8409133;0;0
8409079;8409132;0;0
8409069;8409131;0;0
8409061;8409129;0;0
8409000;8409127;0;0
8408973;8409124;0;0
8408994;8409122;0;0
8409006;8409120;0;0
8408998;8409118;0;0
8408986;8409115;0;0
8408966;8409113;0;0
8408981;8409111;0;0
8408962;8409108;0;0
8408991;8409106;0;0
8408997;8409104;0;0
8409034;8409103;0;0
8409044;8409102;0;0
8409041;8409101;0;0
8409077;8409101;0;0
8409082;8409101;0;0
8409086;8409101;0;0
8409307;8409104;1;0
8409350;8409107;0;0
8409140;8409107;0;0
8409114;8409108;0;0
8409114;8409108;0;0
8409094;8409107;0;0
8409109;8409107;0;0
8409121;8409108;0;0
8409110;8409108;0;0
8409115;8409108;0;0
8409084;8409107;0;0
8409109;8409107;0;0
8409092;8409107;0;0
8409138;8409108;0;0
8409129;8409108;0;0
8409113;8409108;0;0
8409056;8409107;0;0
8409103;8409107;0;0
8409128;8409107;0;0
8409066;8409107;0;0
8409074;8409107;0;0
8409093;8409106;0;0
8409113;8409107;0;0
8409108;8409107;0;0
8409087;8409106;0;0
8409097;8409106;0;0
8409104;8409106;0;0
8409134;8409106;0;0
8409132;8409107;0;0
8409127;8409107;0;0
8409139;8409107;0;0
8409146;8409108;0;0
8409141;8409108;0;0
8409130;8409108;0;0
8409152;8409109;0;0
8409154;8409109;0;0
8409165;8409110;0;0
8409157;8409110;0;0
8409164;8409110;0;0
8409170;8409111;0;0
8409178;8409112;0;0
8409168;8409112;0;0
8409164;8409113;0;0
8409155;8409113;0;0
8409151;8409113;0;0
8409152;8409114;0;0
8409136;8409114;0;0
8409156;8409114;0;0
8409142;8409114;0;0
8409139;8409115;0;0
8409150;8409115;0;0
8409145;8409115;0;0
8409147;8409115;0;0
8409129;8409115;0;0
8409142;8409116;0;0
8409125;8409116;0;0
8409113;8409116;0;0
8409122;8409116;0;0
8409106;8409116;0;0
8409084;8409115;0;0
8409066;8409115;0;0
8409085;8409115;0;0
8409077;8409115;0;0
8409072;8409114;0;0
8409071;8409114;0;0
8409053;8409113;0;0
8409075;8409113;0;0
8409073;8409113;0;0
8409067;8409113;0;0
8409064;8409112;0;0
8409040;8409112;0;0
8409036;8409111;0;0
8409034;8409111;0;0
8409004;8409110;0;0
8409015;8409109;0;0
8409009;8409108;0;0
8409025;8409108;0;0
8409008;8409107;0;0
8409027;8409107;0;0
8409036;8409106;0;0
8409030;8409106;0;0
8409024;8409105;0;0
8409410;8409107;1;0
8409456;8409109;1;0
8409491;8409112;1;0
8409493;8409114;1;0
8409495;8409117;1;0
8409497;8409119;1;0
8409486;8409122;1;0
8409467;8409124;1;0
8409459;8409126;1;0
