BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
32,81;33,90;96,19;31,46;95,98;31,80;34,02;50,10;31,75;31,95;96,08;42,00;97,00;60,00
32,81;33,16;96,19;31,43;95,98;31,80;34,02;50,10;31,75;31,95;96,08;41,63;97,00;60,00
32,79;32,73;96,19;31,43;95,98;31,90;34,37;50,80;31,75;31,97;96,08;41,76;97,00;60,00
32,79;32,21;96,18;31,41;95,97;31,90;34,37;50,80;31,75;31,96;96,08;41,51;97,00;59,00
32,79;31,96;96,18;31,44;95,99;31,90;34,09;49,60;31,75;31,97;96,08;40,78;97,00;60,00
32,78;31,70;96,18;31,41;95,98;31,90;34,09;49,60;31,75;31,96;96,08;40,65;97,00;60,00
32,77;31,60;96,18;31,41;95,98;31,90;33,88;48,70;31,75;31,96;96,08;40,15;97,00;61,00
32,77;31,56;96,19;31,41;95,98;31,90;33,88;48,70;31,75;31,96;96,08;40,13;97,00;60,00
32,75;31,51;96,18;31,39;95,98;31,90;33,70;47,90;31,75;31,95;96,08;39,71;97,00;60,00
32,73;31,42;96,19;31,37;95,98;31,90;33,70;47,90;31,75;31,94;96,08;39,66;97,00;60,00
32,74;31,43;96,19;31,38;95,98;31,90;33,59;47,40;31,75;31,94;96,08;39,42;97,00;60,00
32,74;31,41;96,18;31,39;95,98;31,90;33,59;47,40;31,75;31,94;96,08;39,40;97,00;60,00
32,74;31,34;96,18;31,38;95,99;31,90;33,52;47,10;31,75;31,94;96,08;39,22;97,00;60,00
32,74;31,25;96,18;31,38;95,98;31,90;33,52;47,10;31,75;31,94;96,08;39,17;97,00;60,00
32,74;31,20;96,18;31,38;95,98;31,90;33,48;46,90;32,25;32,07;96,08;39,05;97,00;60,00
32,74;31,23;96,18;31,38;95,98;31,90;33,48;46,90;32,25;32,07;96,08;39,06;97,00;60,00
32,74;31,25;96,18;31,38;95,98;31,90;33,44;46,70;32,25;32,07;96,08;38,97;97,00;60,00
32,74;31,17;96,19;31,37;95,98;31,90;33,44;46,70;32,25;32,07;96,09;38,93;97,00;59,00
32,74;31,02;96,18;31,36;95,98;31,90;33,44;46,70;32,25;32,06;96,08;38,86;97,00;60,00
32,75;30,85;96,19;31,38;95,98;31,90;33,44;46,70;32,25;32,07;96,08;38,77;97,00;60,00
32,75;30,80;96,19;31,38;95,98;31,90;33,39;46,50;32,25;32,07;96,08;38,65;97,00;60,00
32,74;30,79;96,19;31,39;95,98;31,90;33,39;46,50;32,25;32,07;96,09;38,65;97,00;60,00
32,75;30,79;96,18;31,39;95,98;31,90;33,35;46,30;32,25;32,07;96,08;38,55;97,00;60,00
32,76;30,87;96,19;31,38;95,98;31,90;33,35;46,30;32,25;32,07;96,08;38,59;97,00;60,00
32,75;30,95;96,19;31,38;95,97;31,90;33,33;46,20;32,25;32,07;96,08;38,58;97,00;60,00
32,75;30,94;96,19;31,38;95,98;31,90;33,33;46,20;32,25;32,07;96,08;38,57;97,00;60,00
32,75;30,94;96,18;31,37;95,98;31,90;33,35;46,30;32,25;32,07;96,08;38,62;97,00;60,00
32,74;30,93;96,18;31,35;95,98;31,90;33,35;46,30;32,25;32,06;96,08;38,61;97,00;60,00
32,74;30,89;96,18;31,35;95,98;31,90;33,37;46,40;32,25;32,06;96,08;38,65;97,00;60,00
32,74;30,91;96,19;31,35;95,98;31,90;33,37;46,40;32,25;32,06;96,08;38,65;97,00;59,00
32,73;30,89;96,18;31,35;95,98;31,90;33,35;46,30;32,25;32,06;96,08;38,60;97,00;59,00
32,74;30,95;96,18;31,35;95,98;31,90;33,35;46,30;32,25;32,06;96,08;38,63;97,00;59,00
32,74;30,97;96,18;31,35;95,97;31,90;33,35;46,30;32,25;32,06;96,08;38,64;97,00;60,00
32,76;30,95;96,19;31,37;95,98;31,90;33,35;46,30;32,25;32,07;96,08;38,63;97,00;60,00
32,75;30,91;96,18;31,37;95,98;31,90;33,37;46,40;32,25;32,07;96,08;38,65;97,00;60,00
