BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
28,63;42,11;96,51;27,32;96,33;27,30;28,27;57,60;27,25;27,63;96,42;49,86;79,00;61,00
28,66;42,44;96,52;27,32;96,33;27,30;28,27;57,60;27,25;27,63;96,42;50,02;79,00;60,00
28,62;41,94;96,51;27,29;96,33;27,30;28,36;58,70;27,25;27,62;96,42;50,32;79,00;60,00
28,63;41,59;96,53;27,29;96,33;27,30;28,36;58,70;27,25;27,62;96,43;50,15;76,00;60,00
28,64;41,72;96,52;27,30;96,33;27,30;28,42;59,40;27,25;27,62;96,43;50,56;79,00;60,00
28,62;42,75;96,53;27,31;96,34;27,30;28,42;59,40;27,25;27,62;96,43;51,08;50,00;59,00
28,61;42,58;96,52;27,27;96,34;27,30;28,44;59,70;27,25;27,61;96,43;51,14;75,00;60,00
28,55;41,70;96,53;27,20;96,34;27,30;28,44;59,70;27,25;27,57;96,43;50,70;75,00;60,00
28,54;41,30;96,53;27,18;96,34;27,30;28,48;60,10;27,25;27,57;96,43;50,70;75,00;60,00
28,53;41,02;96,53;27,15;96,33;27,30;28,48;60,10;27,25;27,56;96,43;50,56;75,00;60,00
28,48;40,90;96,52;27,09;96,34;27,30;28,42;59,40;27,25;27,53;96,43;50,15;75,00;60,00
28,46;40,80;96,52;27,03;96,34;27,30;28,42;59,40;27,25;27,51;96,43;50,10;75,00;60,00
28,43;40,77;96,52;27,01;96,34;27,30;28,36;58,70;27,25;27,50;96,43;49,74;75,00;60,00
28,41;40,77;96,53;27,00;96,34;27,30;28,36;58,70;27,25;27,49;96,43;49,74;66,00;60,00
28,39;40,76;96,53;26,97;96,34;27,30;28,32;58,20;27,25;27,48;96,44;49,48;66,00;60,00
28,35;40,78;96,53;26,89;96,34;27,30;28,32;58,20;27,25;27,45;96,43;49,49;72,00;60,00
28,32;40,80;96,52;26,87;96,34;27,20;28,17;57,90;27,25;27,41;96,43;49,35;69,00;60,00
28,31;40,83;96,53;26,85;96,35;27,20;28,17;57,90;27,25;27,40;96,44;49,37;71,00;60,00
28,29;40,85;96,53;26,80;96,34;27,20;28,16;57,70;27,25;27,38;96,43;49,28;73,00;60,00
28,25;40,88;96,53;26,77;96,34;27,20;28,16;57,70;27,25;27,37;96,44;49,29;70,00;60,00
28,23;40,91;96,53;26,72;96,34;27,20;28,15;57,60;27,25;27,35;96,43;49,26;48,00;61,00
28,20;40,94;96,53;26,70;96,34;27,20;28,15;57,60;27,25;27,34;96,44;49,27;54,00;60,00
28,18;40,99;96,53;26,66;96,34;27,10;28,02;57,50;27,25;27,30;96,43;49,24;61,00;60,00
28,13;41,04;96,53;26,59;96,34;27,10;28,02;57,50;27,25;27,27;96,43;49,27;50,00;60,00
28,13;41,07;96,53;26,58;96,34;27,10;28,02;57,50;27,25;27,26;96,43;49,29;45,00;60,00
28,09;41,13;96,53;26,54;96,34;27,10;28,02;57,50;27,25;27,25;96,44;49,31;75,00;60,00
28,08;41,16;96,52;26,49;96,34;27,00;27,90;57,50;27,25;27,20;96,43;49,33;74,00;60,00
28,05;41,19;96,53;26,44;96,34;27,00;27,90;57,50;27,25;27,18;96,43;49,34;74,00;60,00
28,01;41,24;96,53;26,39;96,34;27,00;27,90;57,50;27,25;27,16;96,44;49,37;74,00;60,00
27,98;41,30;96,53;26,34;96,34;27,00;27,90;57,50;27,25;27,14;96,43;49,40;74,00;61,00
28,00;41,32;96,53;26,32;96,34;26,90;27,79;57,60;27,25;27,12;96,43;49,46;75,00;60,00
27,96;41,35;96,53;26,30;96,34;26,90;27,79;57,60;27,25;27,10;96,43;49,48;75,00;61,00
27,94;41,37;96,53;26,27;96,34;26,80;27,69;57,70;27,25;27,07;96,43;49,54;74,00;61,00
27,91;41,38;96,53;26,26;96,34;26,80;27,69;57,70;27,25;27,05;96,43;49,54;74,00;61,00
27,91;41,39;96,53;26,24;96,34;26,80;27,69;57,80;26,50;26,86;96,43;49,60;69,00;60,00
27,91;41,40;96,53;26,22;96,34;26,80;27,69;57,80;26,50;26,86;96,44;49,60;73,00;60,00
27,91;41,42;96,53;26,20;96,33;26,80;27,69;57,80;26,50;26,85;96,43;49,61;73,00;60,00
27,90;41,46;96,53;26,21;96,34;26,80;27,69;57,80;26,50;26,85;96,43;49,63;72,00;60,00
