BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
26,79;60,17;95,77;25,88;95,51;26,80;28,60;71,10;26,75;26,55;95,64;65,63;98,00;60,00;13,00;14,00
26,80;60,02;95,76;25,92;95,51;26,80;28,60;71,10;26,75;26,57;95,64;65,56;98,00;60,00;16,00;17,00
26,81;59,92;95,76;25,93;95,52;26,80;28,62;71,30;26,75;26,57;95,64;65,61;98,00;60,00;17,00;19,00
26,81;59,79;95,76;25,93;95,51;26,80;28,62;71,30;26,75;26,57;95,64;65,55;98,00;60,00;17,00;20,00
26,82;59,67;95,77;25,96;95,53;26,80;28,62;71,30;26,75;26,58;95,65;65,48;98,00;60,00;17,00;21,00
26,84;60,29;95,76;25,96;95,52;26,80;28,62;71,30;26,75;26,59;95,64;65,79;98,00;60,00;17,00;21,00
26,85;60,50;95,76;25,97;95,52;26,80;28,62;71,30;26,75;26,59;95,64;65,90;98,00;60,00;16,00;21,00
26,86;60,57;95,76;25,97;95,52;26,80;28,62;71,30;26,75;26,60;95,64;65,93;98,00;60,00;16,00;21,00
26,87;60,50;95,77;25,99;95,52;26,80;28,65;71,70;26,75;26,60;95,64;66,10;98,00;60,00;15,00;20,00
26,87;60,18;95,76;25,99;95,52;26,80;28,65;71,70;26,75;26,60;95,64;65,94;98,00;60,00;15,00;20,00
26,88;59,94;95,76;25,99;95,51;26,80;28,67;72,00;26,75;26,60;95,64;65,97;98,00;60,00;14,00;19,00
26,89;59,72;95,76;25,99;95,52;26,80;28,67;72,00;26,75;26,61;95,64;65,86;98,00;60,00;13,00;18,00
26,89;59,51;95,76;26,00;95,52;26,80;28,66;71,90;26,75;26,61;95,64;65,70;98,00;60,00;12,00;18,00
26,90;59,37;95,77;26,01;95,52;26,80;28,66;71,90;26,75;26,61;95,64;65,63;98,00;60,00;12,00;17,00
26,90;59,37;95,76;25,99;95,51;26,80;28,64;71,60;26,75;26,61;95,64;65,48;98,00;60,00;11,00;17,00
26,91;59,29;95,76;26,00;95,51;26,80;28,64;71,60;26,75;26,62;95,64;65,44;98,00;60,00;10,00;16,00
26,92;59,20;95,76;26,00;95,52;26,80;28,63;71,40;26,75;26,62;95,64;65,30;98,00;60,00;10,00;15,00
26,93;59,10;95,76;26,01;95,51;26,80;28,63;71,40;26,75;26,62;95,64;65,25;98,00;60,00;9,00;15,00
26,94;59,06;95,76;26,02;95,52;26,80;28,60;71,10;26,75;26,63;95,64;65,08;98,00;60,00;9,00;14,00
26,94;59,02;95,76;26,03;95,52;26,80;28,60;71,10;26,75;26,63;95,64;65,06;98,00;60,00;8,00;13,00
26,95;59,04;95,76;26,04;95,52;26,80;28,60;71,00;26,75;26,64;95,64;65,02;98,00;60,00;8,00;13,00
26,95;59,04;95,76;26,04;95,52;26,80;28,60;71,00;26,75;26,64;95,64;65,02;98,00;60,00;8,00;12,00
26,96;59,00;95,76;26,04;95,52;26,80;28,59;70,90;26,75;26,64;95,64;64,95;98,00;60,00;7,00;12,00
26,96;58,95;95,76;26,06;95,52;26,80;28,59;70,90;26,75;26,64;95,64;64,92;98,00;60,00;7,00;11,00
26,96;58,89;95,76;26,05;95,52;26,80;28,59;70,90;26,75;26,64;95,64;64,90;98,00;60,00;7,00;11,00
26,97;58,82;95,76;26,06;95,52;26,80;28,59;70,90;26,75;26,65;95,64;64,86;98,00;60,00;6,00;11,00
26,97;58,68;95,76;26,06;95,52;26,80;28,59;70,90;26,75;26,64;95,64;64,79;98,00;60,00;6,00;10,00
26,97;58,49;95,76;26,04;95,52;26,80;28,59;70,90;26,75;26,64;95,64;64,70;98,00;60,00;6,00;10,00
26,97;58,38;95,76;26,06;95,53;26,80;28,58;70,80;26,75;26,64;95,65;64,59;98,00;60,00;6,00;10,00
26,98;58,25;95,76;26,04;95,51;26,80;28,58;70,80;26,75;26,64;95,64;64,52;98,00;60,00;6,00;9,00
26,97;58,16;95,76;26,04;95,52;26,80;28,57;70,60;26,75;26,64;95,64;64,38;98,00;60,00;6,00;9,00
26,98;58,08;95,76;26,04;95,52;26,80;28,57;70,60;26,75;26,64;95,64;64,34;98,00;60,00;5,00;9,00
26,98;58,00;95,76;26,03;95,52;26,80;28,55;70,40;26,75;26,64;95,64;64,20;98,00;60,00;5,00;9,00
26,99;58,00;95,76;26,04;95,52;26,80;28,55;70,40;26,75;26,65;95,64;64,20;98,00;60,00;5,00;9,00
26,99;57,98;95,76;26,06;95,52;26,80;28,54;70,20;26,75;26,65;95,64;64,09;98,00;60,00;5,00;8,00
26,99;57,97;95,76;26,06;95,52;26,80;28,54;70,20;26,75;26,65;95,64;64,08;98,00;60,00;5,00;8,00
26,99;58,03;95,76;26,04;95,52;26,80;28,53;70,10;26,75;26,65;95,64;64,07;98,00;60,00;5,00;8,00
27,00;58,01;95,76;26,05;95,52;26,80;28,53;70,10;26,75;26,65;95,64;64,06;98,00;60,00;5,00;8,00
27,00;57,99;95,76;26,06;95,52;26,80;28,53;70,10;26,75;26,65;95,64;64,05;98,00;60,00;5,00;8,00
27,00;58,02;95,76;26,06;95,52;26,80;28,53;70,10;26,75;26,65;95,64;64,06;98,00;60,00;5,00;8,00
27,00;58,06;95,76;26,04;95,52;26,80;28,52;70,00;26,75;26,65;95,64;64,03;98,00;60,00;5,00;8,00
