PANEL: 2;            X: 0;            Y: 6
PANEL: 2;            X: 1;            Y: 5
PANEL: 2;            X: 1;            Y: 3
PANEL: 2;            X: 2;            Y: 4
PANEL: 2;            X: 2;            Y: 3
PANEL: 2;            X: 2;            Y: 2
PANEL: 2;            X: 3;            Y: 1
PANEL: 2;            X: 1;            Y: 3
PANEL: 2;            X: 1;            Y: 3
PANEL: 2;            X: 1;            Y: 3
PANEL: 2;            X: 2;            Y: 2
PANEL: 2;            X: 2;            Y: 2
PANEL: 2;            X: 2;            Y: 2
PANEL: 2;            X: 1;            Y: 4
PANEL: 2;            X: 0;            Y: 7
PANEL: 2;            X: 2;            Y: 2
PANEL: 2;            X: 4;            Y: 1
PANEL: 2;            X: 4;            Y: 0
PANEL: 2;            X: 2;            Y: 6
PANEL: 2;            X: 3;            Y: 6
PANEL: 0;            X: 0;            Y: 0
PANEL: 0;            X: 1;            Y: 0
PANEL: 0;            X: 1;            Y: 1
PANEL: 0;            X: 0;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 3
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 2;            Y: 2
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 1
PANEL: 0;            X: 3;            Y: 2
PANEL: 0;            X: 1;            Y: 4
PANEL: 0;            X: 0;            Y: 5
PANEL: 0;            X: 4;            Y: 1
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 4;            Y: 6
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 3;            Y: 5
PANEL: 0;            X: 4;            Y: 6
PANEL: 0;            X: 4;            Y: 6
PANEL: 0;            X: 4;            Y: 6
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 3;            Y: 5
PANEL: 0;            X: 3;            Y: 5
PANEL: 0;            X: 3;            Y: 5
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 4;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 3;            Y: 6
PANEL: 0;            X: 2;            Y: 6
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 2;            Y: 5
PANEL: 0;            X: 2;            Y: 5
PANEL: 0;            X: 2;            Y: 5
PANEL: 0;            X: 2;            Y: 5
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 4;            Y: 5
PANEL: 0;            X: 4;            Y: 7
PANEL: 0;            X: 3;            Y: 7
PANEL: 0;            X: 3;            Y: 7
PANEL: 0;            X: 3;            Y: 7
PANEL: 0;            X: 3;            Y: 7
PANEL: 0;            X: 2;            Y: 7
