BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
28,87;55,02;962,39;28,09;959,93;28,30;30,85;67,20;28,50;28,44;961,16;61,11;54,00;60,00
28,89;55,08;962,35;28,09;959,98;28,30;30,85;67,20;28,50;28,45;961,16;61,14;53,00;59,00
28,89;54,95;962,42;28,09;959,88;28,40;31,32;69,10;28,50;28,47;961,15;62,03;53,00;59,00
28,90;54,55;962,37;28,10;959,96;28,40;31,32;69,10;28,50;28,48;961,17;61,82;54,00;59,00
28,90;54,16;962,38;28,11;960,10;28,40;31,23;68,50;28,50;28,48;961,24;61,33;52,00;59,00
28,92;53,67;962,41;28,12;959,97;28,40;31,23;68,50;28,50;28,48;961,19;61,09;53,00;59,00
28,92;53,31;962,43;28,11;960,01;28,40;31,11;67,70;28,50;28,48;961,22;60,51;50,00;59,00
28,92;52,74;962,43;28,10;959,89;28,40;31,11;67,70;28,50;28,48;961,16;60,22;50,00;59,00
28,93;52,31;962,41;28,11;959,97;28,40;30,97;66,70;28,50;28,49;961,19;59,51;50,00;59,00
28,93;51,84;962,39;28,12;959,94;28,40;30,97;66,70;28,50;28,49;961,17;59,27;50,00;61,00
28,94;51,59;962,43;28,13;959,96;28,40;30,83;65,70;28,50;28,49;961,20;58,65;48,00;59,00
28,95;51,54;962,40;28,13;959,99;28,40;30,83;65,70;28,50;28,49;961,19;58,62;50,00;59,00
28,95;51,52;962,42;28,13;959,96;28,40;30,73;65,00;28,50;28,49;961,19;58,26;50,00;59,00
28,96;51,42;962,39;28,14;959,98;28,40;30,73;65,00;28,50;28,50;961,18;58,21;52,00;59,00
28,96;51,39;962,43;28,13;959,92;28,40;30,68;64,70;28,50;28,50;961,17;58,05;51,00;60,00
28,97;51,37;962,33;28,16;959,93;28,40;30,68;64,70;28,50;28,51;961,13;58,03;63,00;59,00
28,97;51,33;962,39;28,16;959,95;28,40;30,64;64,40;28,50;28,51;961,17;57,87;63,00;60,00
28,97;51,23;962,38;28,17;960,02;28,40;30,64;64,40;28,50;28,51;961,20;57,82;63,00;59,00
28,98;51,13;962,41;28,17;959,99;28,40;30,60;64,10;28,50;28,51;961,20;57,62;62,00;59,00
28,99;51,11;962,42;28,18;960,01;28,40;30,60;64,10;28,50;28,52;961,21;57,61;62,00;59,00
28,99;51,17;962,37;28,19;959,99;28,40;30,57;63,90;28,50;28,52;961,18;57,53;62,00;58,00
29,00;51,24;962,41;28,18;959,96;28,40;30,57;63,90;28,50;28,52;961,19;57,57;63,00;59,00
29,00;51,35;962,40;28,19;959,99;28,40;30,56;63,80;28,50;28,52;961,20;57,58;62,00;59,00
29,01;51,16;962,36;28,19;959,93;28,40;30,56;63,80;28,50;28,52;961,15;57,48;70,00;59,00
29,01;51,18;962,39;28,20;960,00;28,50;30,73;63,80;28,50;28,55;961,19;57,49;65,00;59,00
29,01;51,25;962,44;28,21;959,97;28,50;30,73;63,80;28,50;28,55;961,20;57,53;64,00;59,00
29,02;51,10;962,38;28,21;959,94;28,50;30,72;63,70;28,50;28,56;961,16;57,40;63,00;59,00
29,03;51,20;962,43;28,22;959,98;28,50;30,72;63,70;29,50;28,81;961,20;57,45;64,00;59,00
29,04;51,44;962,43;28,23;960,02;28,50;30,71;63,60;29,50;28,82;961,22;57,52;64,00;60,00
29,04;51,46;962,37;28,23;959,99;28,50;30,71;63,60;29,50;28,82;961,18;57,53;64,00;59,00
29,06;51,38;962,42;28,23;959,96;28,50;30,75;63,90;29,50;28,82;961,19;57,64;63,00;59,00
29,06;51,15;962,41;28,23;959,98;28,50;30,75;63,90;29,50;28,82;961,20;57,53;74,00;59,00
29,07;50,88;962,41;28,23;959,94;28,50;30,76;64,00;29,50;28,82;961,17;57,44;61,00;59,00
29,07;50,36;962,36;28,25;960,03;28,50;30,76;64,00;29,50;28,83;961,19;57,18;76,00;59,00
29,08;50,77;962,34;28,26;959,96;28,50;30,72;63,70;29,50;28,83;961,15;57,24;62,00;59,00
29,09;50,85;962,37;28,25;959,96;28,50;30,72;63,70;29,50;28,84;961,17;57,28;51,00;59,00
29,09;50,58;962,43;28,27;959,96;28,50;30,66;63,30;29,50;28,84;961,19;56,94;54,00;59,00
29,10;50,46;962,39;28,27;959,96;28,50;30,66;63,30;29,50;28,84;961,18;56,88;54,00;59,00
29,11;50,46;962,45;28,29;960,00;28,50;30,61;62,90;29,50;28,85;961,22;56,68;54,00;59,00
29,12;50,41;962,36;28,29;960,03;28,50;30,61;62,90;29,50;28,85;961,19;56,65;62,00;60,00
29,18;54,44;962,35;28,39;959,91;28,50;30,59;62,80;29,50;28,89;961,13;58,62;62,00;59,00
29,53;64,00;962,45;28,82;959,92;28,50;30,59;62,80;29,50;29,09;961,18;63,40;56,00;59,00
29,29;62,30;962,42;28,58;959,87;28,60;30,78;62,90;29,50;28,99;961,14;62,60;52,00;59,00
29,25;57,58;962,40;28,46;959,89;28,60;30,78;62,90;29,50;28,95;961,14;60,24;54,00;59,00
29,25;55,25;962,40;28,44;960,00;28,60;30,87;63,50;29,50;28,95;961,20;59,38;52,00;59,00
29,25;53,36;962,42;28,41;959,95;28,60;30,87;63,50;29,50;28,94;961,19;58,43;76,00;59,00
29,26;52,94;962,36;28,43;959,97;28,60;30,84;63,30;29,50;28,95;961,16;58,12;72,00;59,00
29,27;53,44;962,42;28,42;959,92;28,60;30,84;63,30;29,50;28,95;961,17;58,37;70,00;55,00
29,27;53,60;962,38;28,43;959,96;28,60;30,82;63,20;29,50;28,95;961,17;58,40;73,00;59,00
29,28;53,48;962,37;28,43;959,97;28,60;30,82;63,20;29,50;28,95;961,17;58,34;71,00;60,00
29,27;52,92;962,41;28,42;959,98;28,60;30,95;64,10;29,50;28,95;961,20;58,51;79,00;59,00
29,28;52,05;962,39;28,43;959,97;28,60;30,95;64,10;29,50;28,95;961,18;58,07;78,00;59,00
29,28;51,58;962,40;28,43;959,93;28,60;31,01;64,50;29,50;28,95;961,17;58,04;77,00;59,00
29,28;51,33;962,39;28,44;959,99;28,60;31,01;64,50;29,50;28,95;961,19;57,91;75,00;60,00
29,29;51,17;962,40;28,43;959,98;28,60;30,97;64,20;29,50;28,96;961,19;57,68;76,00;59,00
29,29;50,95;962,37;28,44;959,93;28,60;30,97;64,20;29,50;28,96;961,15;57,58;76,00;60,00
29,29;50,58;962,35;28,43;959,92;28,60;30,93;63,90;29,50;28,96;961,13;57,24;76,00;60,00
29,29;50,31;962,38;28,43;959,93;28,60;30,93;63,90;29,50;28,95;961,15;57,11;76,00;59,00
29,30;50,02;962,38;28,43;959,97;28,70;31,03;63,40;29,50;28,98;961,17;56,71;76,00;59,00
29,29;49,84;962,40;28,44;959,99;28,70;31,03;63,40;29,50;28,98;961,19;56,62;76,00;59,00
29,30;49,81;962,37;28,46;959,99;28,70;30,95;62,90;29,50;28,99;961,18;56,35;76,00;59,00
29,30;49,78;962,37;28,45;960,01;28,70;30,95;62,90;29,50;28,99;961,19;56,34;74,00;59,00
29,31;49,77;962,40;28,45;959,93;28,70;30,91;62,60;29,50;28,99;961,17;56,19;74,00;59,00
29,31;49,65;962,38;28,46;959,94;28,70;30,91;62,60;29,50;28,99;961,16;56,12;55,00;58,00
29,31;49,61;962,35;28,44;959,85;28,70;30,90;62,50;29,50;28,99;961,10;56,06;53,00;60,00
29,32;50,18;962,39;28,47;959,88;28,70;30,90;62,50;29,50;29,00;961,14;56,34;51,00;59,00
29,33;51,31;962,39;28,48;959,89;28,70;30,87;62,30;29,50;29,00;961,14;56,80;52,00;59,00
29,33;51,35;962,40;28,48;959,95;28,70;30,87;62,30;29,50;29,00;961,18;56,83;52,00;59,00
29,34;50,96;962,35;28,48;959,94;28,70;30,88;62,40;29,50;29,01;961,14;56,68;52,00;59,00
29,34;50,42;962,38;28,49;959,94;28,70;30,88;62,40;29,50;29,01;961,16;56,41;52,00;59,00
29,35;50,14;962,39;28,51;959,97;28,70;30,88;62,40;29,50;29,02;961,18;56,27;51,00;59,00
29,35;49,94;962,37;28,52;960,00;28,70;30,88;62,40;29,50;29,02;961,19;56,17;83,00;60,00
29,70;52,30;962,43;28,52;959,96;28,70;30,88;62,40;29,50;29,10;961,20;57,35;52,00;59,00
29,52;51,13;962,35;28,49;959,86;28,70;30,88;62,40;29,50;29,05;961,11;56,76;49,00;59,00
