BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
28,38;50,74;96,51;27,15;60,29;28,10;30,00;63,40;27,50;27,78;78,40;57,07;62,00;59,00;6,00;6,00;127,10
28,38;50,40;96,51;27,17;60,30;28,10;30,00;63,40;27,50;27,79;78,41;56,90;62,00;59,00;6,00;6,00;72,90
28,38;50,12;96,50;27,16;60,30;28,10;30,04;63,70;27,50;27,79;78,40;56,91;63,00;59,00;6,00;6,00;127,20
28,38;49,90;96,51;27,15;60,29;28,10;30,04;63,70;27,50;27,78;78,40;56,80;62,00;59,00;6,00;6,00;72,80
28,38;49,74;96,51;27,17;60,30;28,10;30,06;63,90;27,50;27,79;78,40;56,82;62,00;59,00;6,00;6,00;127,20
28,39;49,62;96,50;27,15;60,29;28,10;30,06;63,90;27,50;27,79;78,40;56,76;63,00;59,00;6,00;6,00;72,80
28,38;49,48;96,51;27,16;60,30;28,10;30,06;63,90;27,50;27,79;78,40;56,69;63,00;59,00;6,00;6,00;100,10
28,38;49,33;96,50;27,16;60,30;28,10;30,05;63,80;27,50;27,79;78,40;56,57;64,00;59,00;6,00;6,00;127,00
28,38;49,22;96,51;27,15;60,29;28,10;30,05;63,80;27,50;27,78;78,40;56,51;74,00;59,00;6,00;6,00;72,90
28,38;49,14;96,50;27,17;60,30;28,10;30,01;63,50;27,50;27,79;78,40;56,32;69,00;60,00;6,00;6,00;127,10
28,38;49,40;96,51;27,17;60,30;28,10;30,01;63,50;27,50;27,79;78,41;56,45;69,00;59,00;6,00;6,00;72,90
28,36;50,29;96,50;27,17;60,30;28,20;30,15;63,30;27,50;27,81;78,40;56,79;70,00;59,00;6,00;6,00;127,20
28,37;50,96;96,50;27,15;60,29;28,20;30,15;63,30;27,50;27,80;78,40;57,13;69,00;59,00;7,00;6,00;72,80
28,38;51,27;96,51;27,16;60,30;28,10;30,03;63,60;27,50;27,79;78,40;57,43;68,00;59,00;7,00;6,00;127,20
28,37;51,05;96,51;27,15;60,29;28,10;30,03;63,60;27,50;27,78;78,40;57,33;68,00;59,00;7,00;6,00;72,80
28,37;50,90;96,51;27,16;60,30;28,10;30,03;63,60;27,50;27,78;78,40;57,25;68,00;59,00;7,00;6,00;100,00
28,37;50,54;96,50;27,17;60,30;28,20;30,24;64,00;27,50;27,81;78,40;57,27;68,00;59,00;7,00;6,00;127,10
28,36;50,15;96,51;27,15;60,29;28,20;30,24;64,00;27,50;27,80;78,40;57,08;68,00;59,00;7,00;6,00;72,90
28,36;49,88;96,51;27,16;60,30;28,10;30,11;64,30;27,50;27,78;78,40;57,09;70,00;59,00;6,00;6,00;127,20
28,36;49,66;96,51;27,16;60,30;28,10;30,11;64,30;27,50;27,78;78,40;56,98;71,00;58,00;6,00;6,00;72,80
28,36;49,51;96,50;27,15;60,29;28,20;30,27;64,20;27,50;27,80;78,39;56,86;72,00;59,00;6,00;6,00;127,20
28,35;49,42;96,50;27,17;60,30;28,20;30,27;64,20;27,50;27,80;78,40;56,81;72,00;58,00;6,00;6,00;72,80
28,35;49,34;96,51;27,15;60,29;28,20;30,27;64,20;27,50;27,80;78,40;56,77;71,00;59,00;6,00;6,00;100,10
28,35;49,27;96,51;27,17;60,30;28,20;30,24;64,00;27,50;27,80;78,40;56,64;70,00;59,00;6,00;6,00;127,00
28,35;49,22;96,51;27,15;60,29;28,20;30,24;64,00;27,50;27,80;78,40;56,61;69,00;59,00;6,00;6,00;72,90
28,35;49,25;96,51;27,16;60,30;28,10;30,03;63,60;27,50;27,78;78,40;56,43;69,00;59,00;6,00;6,00;127,10
28,36;49,70;96,51;27,16;60,30;28,10;30,03;63,60;27,50;27,78;78,40;56,65;69,00;59,00;6,00;6,00;72,90
28,35;49,56;96,50;27,18;60,31;28,20;30,18;63,50;27,50;27,81;78,41;56,53;70,00;59,00;6,00;6,00;127,20
28,35;49,35;96,50;27,18;60,31;28,20;30,18;63,50;27,50;27,81;78,41;56,43;72,00;58,00;6,00;6,00;72,80
28,35;49,25;96,51;27,17;60,30;28,10;30,10;64,20;27,50;27,78;78,40;56,73;65,00;59,00;6,00;6,00;127,20
28,35;49,24;96,51;27,17;60,30;28,10;30,10;64,20;27,50;27,78;78,41;56,72;63,00;59,00;6,00;6,00;72,80
28,35;49,14;96,51;27,17;60,30;28,10;30,10;64,20;27,50;27,78;78,41;56,67;63,00;59,00;6,00;6,00;100,00
28,35;49,09;96,50;27,17;60,30;28,20;30,35;64,80;27,50;27,80;78,40;56,95;63,00;59,00;6,00;6,00;127,10
28,35;49,29;96,51;27,17;60,30;28,20;30,35;64,80;27,50;27,81;78,41;57,04;64,00;59,00;6,00;6,00;72,90
28,35;49,52;96,50;27,18;60,31;28,20;30,40;65,20;27,50;27,81;78,41;57,36;64,00;59,00;6,00;6,00;127,20
28,35;49,52;96,50;27,18;60,31;28,20;30,40;65,20;27,50;27,81;78,41;57,36;64,00;58,00;6,00;6,00;72,80
28,35;49,63;96,51;27,18;60,31;28,20;30,41;65,30;27,50;27,81;78,41;57,47;64,00;59,00;6,00;6,00;127,20
28,35;49,68;96,51;27,18;60,31;28,20;30,41;65,30;27,50;27,81;78,41;57,49;64,00;59,00;6,00;6,00;72,80
28,35;49,64;96,51;27,19;60,32;28,20;30,41;65,30;27,50;27,81;78,41;57,47;64,00;59,00;6,00;6,00;100,10
