Temperatur (in C);Luftfeuchtigkeit (in %);Luftdruck (in hPa);Helligkeit (0%-100%);CO2-Level (ppm);Lautstärke (#Einheit)
0.00;0.00;0.00;27.00;11575.35;96.00
0.00;0.00;0.00;40.00;11575.35;96.00
0.00;0.00;0.00;39.00;11042.94;96.00
0.00;0.00;0.00;24.00;11042.94;96.00
0.00;0.00;0.00;24.00;11042.94;96.00
0.00;0.00;0.00;24.00;11042.94;96.00
0.00;0.00;0.00;24.00;11042.94;96.00
0.00;0.00;0.00;25.00;11042.94;96.00
0.00;0.00;0.00;18.00;11042.94;96.00
0.00;0.00;0.00;17.00;11042.94;96.00
0.00;0.00;0.00;17.00;11575.35;96.00
0.00;0.00;0.00;17.00;11575.35;96.00
