BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
 NAN; NAN; NAN;27,13;964,84;27,40;28,17;54,80; NAN; NAN; NAN;42,00;60,00
27,95;45,47;966,44;27,14;964,87;27,40;28,17;54,80;27,50;965,66;50,14;42,00;60,00
27,96;45,29;966,45;27,13;964,85;27,40;28,33;56,80;27,50;965,65;51,05;42,00;60,00
27,98;45,03;966,44;27,14;964,87;27,40;28,33;56,80;27,51;965,66;50,91;42,00;59,00
27,97;44,83;966,43;27,14;964,86;27,40;28,31;56,50;27,50;965,65;50,67;42,00;60,00
27,97;44,71;966,43;27,14;964,89;27,40;28,31;56,50;27,50;965,66;50,60;42,00;59,00
27,97;44,61;966,46;27,14;964,85;27,40;28,29;56,30;27,50;965,65;50,45;42,00;60,00
27,97;44,50;966,45;27,14;964,94;27,40;28,29;56,30;27,50;965,69;50,40;41,00;60,00
27,98;44,34;966,41;27,13;964,84;27,40;28,27;56,00;27,50;965,63;50,17;41,00;60,00
27,98;44,21;966,37;27,14;964,88;27,40;28,27;56,00;27,51;965,63;50,11;42,00;59,00
27,98;44,17;966,42;27,14;964,87;27,40;28,24;55,70;27,51;965,64;49,93;42,00;59,00
27,97;44,12;966,43;27,14;964,91;27,40;28,24;55,70;27,50;965,67;49,91;42,00;60,00
27,98;44,10;966,41;27,13;964,83;27,40;28,23;55,50;27,50;965,62;49,80;43,00;59,00
27,98;44,17;966,45;27,14;964,86;27,40;28,23;55,50;27,51;965,65;49,83;42,00;60,00
27,98;44,37;966,41;27,14;964,85;27,30;28,09;55,30;27,47;965,63;49,84;41,00;59,00
27,98;44,56;966,36;27,14;964,87;27,30;28,09;55,30;27,47;965,61;49,93;41,00;60,00
27,98;44,46;966,41;27,14;964,85;27,40;28,22;55,40;27,51;965,63;49,93;42,00;61,00
27,98;44,60;966,41;27,15;964,92;27,40;28,22;55,40;27,51;965,67;50,00;41,00;59,00
27,98;44,90;966,40;27,11;964,83;27,30;28,11;55,50;27,46;965,61;50,20;41,00;59,00
27,98;44,78;966,39;27,10;964,81;27,30;28,11;55,50;27,46;965,60;50,14;41,00;59,00
27,97;44,74;966,42;27,10;964,81;27,30;28,13;55,80;27,46;965,62;50,27;42,00;60,00
27,97;44,57;966,45;27,10;964,86;27,30;28,13;55,80;27,46;965,65;50,19;42,00;60,00
27,97;44,54;966,44;27,10;964,88;27,30;28,14;55,90;27,46;965,66;50,22;42,00;59,00
27,98;44,65;966,42;27,10;964,86;27,30;28,14;55,90;27,46;965,64;50,28;42,00;60,00
27,98;44,75;966,42;27,10;964,84;27,30;28,14;55,90;27,46;965,63;50,33;43,00;59,00
27,98;44,70;966,44;27,08;964,85;27,30;28,14;55,90;27,45;965,65;50,30;42,00;60,00
27,98;44,56;966,38;27,10;964,88;27,30;28,14;55,90;27,46;965,63;50,23;41,00;59,00
27,99;44,52;966,45;27,08;964,84;27,30;28,14;55,90;27,46;965,65;50,21;42,00;60,00
27,99;44,60;966,45;27,10;964,85;27,30;28,13;55,80;27,46;965,65;50,20;41,00;58,00
27,99;44,59;966,40;27,09;964,84;27,30;28,13;55,80;27,46;965,62;50,19;41,00;61,00
27,98;44,58;966,45;27,10;964,90;27,30;28,12;55,70;27,46;965,68;50,14;42,00;59,00
27,99;44,62;966,42;27,09;964,83;27,30;28,12;55,70;27,46;965,62;50,16;41,00;59,00
27,99;44,55;966,46;27,10;964,89;27,30;28,12;55,70;27,46;965,68;50,13;41,00;59,00
27,98;44,43;966,47;27,09;964,88;27,30;28,12;55,70;27,46;965,67;50,06;41,00;59,00
27,99;44,20;966,44;27,10;964,92;27,30;28,13;55,80;27,46;965,68;50,00;41,00;59,00
27,98;43,91;966,44;27,11;964,92;27,30;28,13;55,80;27,46;965,68;49,86;42,00;59,00
27,99;43,80;966,44;27,10;964,85;27,30;28,12;55,60;27,46;965,65;49,70;42,00;60,00
27,99;43,98;966,41;27,11;964,92;27,30;28,12;55,60;27,47;965,67;49,79;41,00;60,00
27,99;43,98;966,44;27,11;964,84;27,30;28,09;55,30;27,47;965,64;49,64;42,00;60,00
28,00;43,95;966,43;27,11;964,85;27,30;28,09;55,30;27,47;965,64;49,62;41,00;59,00
28,00;43,88;966,43;27,11;964,88;27,30;28,07;55,00;27,47;965,66;49,44;42,00;59,00
28,00;43,86;966,44;27,10;964,84;27,30;28,07;55,00;27,47;965,64;49,43;41,00;59,00
28,00;43,92;966,44;27,11;964,89;27,30;28,06;54,80;27,47;965,67;49,36;42,00;60,00
28,01;43,97;966,43;27,11;964,89;27,30;28,06;54,80;27,47;965,66;49,38;42,00;59,00
28,01;44,16;966,41;27,11;964,89;27,30;28,06;54,80;27,47;965,65;49,48;41,00;58,00
28,01;44,35;966,41;27,12;964,88;27,30;28,06;54,80;27,48;965,65;49,58;41,00;59,00
28,02;44,44;966,45;27,11;964,87;27,30;28,07;55,00;27,48;965,66;49,72;41,00;59,00
28,02;44,63;966,42;27,12;964,87;27,30;28,07;55,00;27,48;965,64;49,82;41,00;59,00
28,02;44,78;966,42;27,11;964,90;27,30;28,11;55,50;27,48;965,66;50,14;42,00;60,00
28,02;44,55;966,45;27,13;964,92;27,30;28,11;55,50;27,48;965,69;50,02;41,00;59,00
28,02;44,46;966,46;27,12;964,85;27,30;28,13;55,80;27,48;965,65;50,13;41,00;59,00
28,02;44,43;966,43;27,13;964,88;27,30;28,13;55,80;27,48;965,65;50,12;41,00;60,00
28,03;44,51;966,39;27,13;964,88;27,30;28,15;56,00;27,49;965,64;50,26;42,00;59,00
28,03;44,66;966,45;27,14;964,92;27,30;28,15;56,00;27,49;965,68;50,33;41,00;59,00
28,03;44,76;966,47;27,13;964,88;27,30;28,16;56,10;27,49;965,67;50,43;41,00;60,00
28,04;44,88;966,45;27,13;964,87;27,30;28,16;56,10;27,49;965,66;50,49;41,00;58,00
28,03;44,87;966,43;27,13;964,85;27,30;28,17;56,30;27,49;965,64;50,59;42,00;59,00
28,03;44,73;966,45;27,13;964,83;27,30;28,17;56,30;27,49;965,64;50,51;41,00;59,00
28,03;44,63;966,43;27,14;964,93;27,30;28,17;56,30;27,49;965,68;50,46;43,00;59,00
28,04;44,58;966,44;27,13;964,84;27,30;28,17;56,30;27,49;965,64;50,44;41,00;60,00
28,04;44,50;966,48;27,12;964,86;27,30;28,17;56,30;27,49;965,67;50,40;40,00;60,00
28,04;44,36;966,43;27,13;964,91;27,30;28,17;56,30;27,49;965,67;50,33;41,00;60,00
28,04;44,23;966,44;27,13;964,86;27,30;28,17;56,30;27,49;965,65;50,27;41,00;60,00
28,04;44,34;966,36;27,11;964,83;27,30;28,17;56,30;27,48;965,60;50,32;41,00;59,00
28,04;44,60;966,45;27,11;964,82;27,30;28,16;56,20;27,48;965,63;50,40;42,00;59,00
28,04;44,59;966,46;27,12;964,83;27,30;28,16;56,20;27,49;965,64;50,40;41,00;59,00
28,04;44,47;966,41;27,13;964,85;27,30;28,16;56,10;27,49;965,63;50,28;41,00;59,00
28,05;44,58;966,37;27,13;964,85;27,30;28,16;56,10;27,49;965,61;50,34;41,00;60,00
28,06;44,84;966,47;27,13;964,85;27,30;28,16;56,10;27,50;965,66;50,47;41,00;60,00
28,06;44,93;966,47;27,14;964,90;27,30;28,16;56,10;27,50;965,68;50,52;42,00;59,00
28,06;45,18;966,46;27,13;964,84;27,30;28,16;56,20;27,50;965,65;50,69;41,00;59,00
28,06;45,42;966,43;27,14;964,86;27,30;28,16;56,20;27,50;965,65;50,81;41,00;60,00
28,06;45,48;966,44;27,12;964,87;27,30;28,17;56,30;27,49;965,65;50,89;41,00;60,00
28,06;45,26;966,40;27,14;964,85;27,30;28,17;56,30;27,50;965,63;50,78;41,00;59,00
28,06;45,16;966,43;27,13;964,84;27,30;28,19;56,60;27,50;965,64;50,88;41,00;59,00
28,06;44,99;966,40;27,13;964,83;27,30;28,19;56,60;27,50;965,62;50,79;41,00;60,00
28,07;44,81;966,48;27,13;964,85;27,40;28,31;56,50;27,53;965,66;50,65;42,00;59,00
28,06;44,71;966,43;27,13;964,84;27,40;28,31;56,50;27,53;965,64;50,60;40,00;59,00
28,05;44,79;966,43;27,11;964,86;27,30;28,18;56,40;27,49;965,64;50,59;40,00;60,00
