BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
26,63;38,24;966,19;25,46;964,64;26,10;26,07;49,90;26,00;26,05;965,42;44,07;90,00;63,00
26,62;38,15;966,20;25,44;964,58;26,10;26,07;49,90;26,00;26,04;965,39;44,02;90,00;63,00
26,60;38,11;966,20;25,43;964,62;26,10;26,06;49,70;26,00;26,03;965,41;43,91;92,00;58,00
26,60;38,11;966,20;25,40;964,65;26,10;26,06;49,70;26,00;26,03;965,43;43,91;91,00;58,00
26,61;38,10;966,17;25,38;964,64;26,10;26,06;49,60;26,00;26,02;965,41;43,85;90,00;61,00
26,60;38,04;966,20;25,37;964,61;26,10;26,06;49,60;26,00;26,02;965,41;43,82;90,00;62,00
26,60;38,02;966,21;25,38;964,57;26,10;26,06;49,60;26,00;26,02;965,39;43,81;91,00;61,00
26,61;38,02;966,16;25,38;964,60;26,10;26,06;49,60;26,00;26,02;965,38;43,81;92,00;59,00
26,61;38,02;966,20;25,39;964,65;26,10;26,06;49,50;26,00;26,02;965,42;43,76;91,00;57,00
26,60;38,28;966,21;25,38;964,61;26,10;26,06;49,50;26,00;26,02;965,41;43,89;91,00;59,00
26,61;38,51;966,16;25,38;964,63;26,10;26,06;49,50;26,00;26,02;965,40;44,00;91,00;63,00
26,60;38,71;966,21;25,38;964,64;26,10;26,06;49,50;26,00;26,02;965,43;44,10;90,00;58,00
26,61;38,87;966,19;25,37;964,60;26,10;26,06;49,60;26,00;26,02;965,39;44,23;92,00;59,00
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
26,59;38,51;966,20;25,40;964,68;26,10;26,07;50,10;26,00;26,02;965,44;44,30;91,00;62,00
26,60;38,51;966,18;25,39;964,66;26,10;26,07;50,10;26,00;26,02;965,42;44,30;91,00;61,00
26,60;38,55;966,16;25,40;964,64;26,10;26,07;50,00;26,00;26,02;965,40;44,28;92,00;63,00
26,60;38,61;966,15;25,40;964,59;26,10;26,07;50,00;26,00;26,02;965,37;44,30;91,00;60,00
26,58;38,54;966,22;25,38;964,62;26,10;26,07;50,00;26,00;26,01;965,42;44,27;92,00;60,00
26,59;38,55;966,18;25,38;964,58;26,10;26,07;50,00;26,00;26,02;965,38;44,28;92,00;62,00
26,60;38,65;966,15;25,38;964,55;26,20;26,72;49,90;26,00;26,05;965,35;44,28;94,00;58,00
26,60;38,81;966,20;25,39;964,58;26,20;26,72;49,90;26,00;26,05;965,39;44,36;92,00;60,00
26,60;38,83;966,17;25,40;964,60;26,10;26,07;49,90;26,00;26,02;965,38;44,37;94,00;59,00
26,60;38,80;966,19;25,40;964,60;26,10;26,07;49,90;26,00;26,03;965,40;44,35;113,00;64,00
26,59;38,73;966,17;25,40;964,59;26,10;26,07;50,00;26,00;26,02;965,38;44,37;94,00;62,00
26,58;38,70;966,12;25,40;964,59;26,10;26,07;50,00;26,00;26,02;965,35;44,35;92,00;61,00
