BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness
 NAN; NAN; NAN;28,11;963,85;28,70;29,24;49,70;28,50; NAN; NAN; NAN;39,00;60,00
29,34;38,14;965,38;28,11;963,84;28,70;29,24;49,70;28,50;28,66;964,61;43,92;40,00;59,00
29,35;38,10;965,41;28,12;963,84;28,70;29,26;49,80;28,50;28,67;964,63;43,95;40,00;60,00
29,36;38,05;965,41;28,12;963,85;28,70;29,26;49,80;28,50;28,67;964,63;43,93;40,00;60,00
29,37;38,05;965,41;28,11;963,84;28,70;29,27;49,90;28,50;28,67;964,62;43,98;39,00;60,00
29,38;38,05;965,45;28,12;963,81;28,70;29,27;49,90;28,50;28,68;964,63;43,98;39,00;60,00
29,38;38,05;965,41;28,13;963,83;28,70;29,27;49,90;28,50;28,68;964,62;43,98;39,00;60,00
29,38;38,06;965,39;28,12;963,83;28,70;29,27;49,90;28,50;28,67;964,61;43,98;39,00;61,00
29,38;38,08;965,37;28,13;963,83;28,70;29,27;49,90;28,50;28,68;964,60;43,99;40,00;60,00
29,38;38,09;965,43;28,14;963,92;28,70;29,27;49,90;28,50;28,68;964,68;43,99;39,00;59,00
29,39;38,11;965,42;28,13;963,86;28,80;29,39;49,90;28,25;28,64;964,64;44,01;40,00;60,00
29,39;38,13;965,39;28,12;963,85;28,80;29,39;49,90;28,25;28,64;964,62;44,02;40,00;60,00
29,39;38,13;965,44;28,14;963,90;28,70;29,27;49,90;28,25;28,62;964,67;44,02;40,00;60,00
29,39;38,12;965,42;28,12;963,86;28,70;29,27;49,90;28,25;28,61;964,64;44,01;40,00;59,00
29,38;38,12;965,41;28,12;963,83;28,80;29,39;49,90;28,25;28,64;964,62;44,01;40,00;60,00
29,38;38,11;965,42;28,13;963,86;28,80;29,39;49,90;28,25;28,64;964,64;44,01;41,00;60,00
29,39;38,12;965,41;28,12;963,87;28,80;29,39;49,90;28,25;28,64;964,64;44,01;40,00;60,00
29,39;38,17;965,38;28,12;963,82;28,80;29,39;49,90;28,25;28,64;964,60;44,03;40,00;60,00
29,39;38,18;965,39;28,13;963,86;28,80;29,39;49,90;28,25;28,64;964,63;44,04;41,00;60,00
29,40;38,25;965,37;28,13;963,87;28,80;29,39;49,90;28,25;28,64;964,62;44,07;41,00;60,00
29,40;38,28;965,39;28,12;963,81;28,80;29,39;49,90;28,25;28,64;964,60;44,09;40,00;60,00
29,40;38,25;965,41;28,12;963,81;28,80;29,39;49,90;28,25;28,64;964,61;44,07;40,00;60,00
29,40;38,22;965,39;28,14;963,90;28,80;29,40;50,00;28,25;28,65;964,65;44,11;40,00;60,00
29,40;38,19;965,38;28,13;963,83;28,80;29,40;50,00;28,25;28,64;964,60;44,10;40,00;60,00
29,40;38,18;965,42;28,13;963,85;28,80;29,40;50,00;28,25;28,64;964,64;44,09;41,00;60,00
29,41;38,17;965,39;28,13;963,89;28,80;29,40;50,00;28,25;28,65;964,64;44,08;41,00;60,00
29,41;38,17;965,42;28,14;963,87;28,80;29,40;50,00;28,25;28,65;964,64;44,08;41,00;60,00
29,41;38,17;965,37;28,14;963,79;28,80;29,40;50,00;28,25;28,65;964,58;44,08;40,00;59,00
29,41;38,18;965,44;28,14;963,83;28,80;29,39;49,90;28,25;28,65;964,63;44,04;41,00;60,00
29,42;38,19;965,35;28,15;963,85;28,80;29,39;49,90;28,25;28,65;964,60;44,05;40,00;60,00
29,42;38,19;965,36;28,16;963,87;28,80;29,39;49,90;28,25;28,66;964,61;44,05;40,00;60,00
29,42;38,21;965,41;28,15;963,82;28,80;29,39;49,90;28,25;28,66;964,61;44,06;40,00;60,00
29,42;38,20;965,40;28,15;963,85;28,80;29,39;49,90;28,25;28,66;964,62;44,05;41,00;60,00
29,42;38,24;965,43;28,15;963,81;28,80;29,39;49,90;28,25;28,66;964,62;44,07;40,00;60,00
29,43;38,27;965,41;28,16;963,85;28,80;29,39;49,90;28,25;28,66;964,63;44,09;40,00;60,00
29,43;38,19;965,37;28,15;963,77;28,80;29,39;49,90;28,25;28,66;964,57;44,05;40,00;60,00
29,44;38,16;965,36;28,16;963,79;28,80;29,39;49,90;28,25;28,66;964,58;44,03;41,00;60,00
29,43;38,09;965,37;28,16;963,81;28,80;29,39;49,90;28,25;28,66;964,59;44,00;41,00;60,00
29,43;38,01;965,37;28,18;963,87;28,80;29,39;49,90;28,25;28,66;964,62;43,96;41,00;60,00
29,44;37,98;965,38;28,18;963,80;28,80;29,39;49,90;28,25;28,67;964,59;43,94;41,00;60,00
29,44;37,98;965,40;28,17;963,80;28,80;29,39;49,90;28,25;28,67;964,60;43,94;41,00;60,00
29,44;38,02;965,39;28,18;963,78;28,80;29,39;49,90;28,25;28,67;964,58;43,96;41,00;60,00
29,45;38,07;965,42;28,18;963,83;28,80;29,38;49,80;28,25;28,67;964,62;43,94;41,00;60,00
29,45;38,12;965,40;28,18;963,82;28,80;29,38;49,80;28,25;28,67;964,61;43,96;41,00;60,00
29,44;38,13;965,36;28,20;963,87;28,80;29,38;49,80;28,25;28,67;964,62;43,96;40,00;60,00
29,46;38,14;965,41;28,19;963,80;28,80;29,38;49,80;28,25;28,67;964,61;43,97;40,00;60,00
29,46;38,13;965,38;28,18;963,82;28,80;29,39;49,90;28,25;28,67;964,60;44,01;41,00;60,00
29,46;38,13;965,38;28,20;963,83;28,80;29,39;49,90;28,25;28,68;964,60;44,01;40,00;60,00
29,46;38,12;965,39;28,20;963,87;28,80;29,39;49,90;28,25;28,68;964,63;44,01;40,00;60,00
29,47;38,12;965,37;28,21;963,82;28,80;29,39;49,90;28,25;28,68;964,60;44,01;40,00;59,00
29,48;38,08;965,35;28,20;963,80;28,80;29,39;49,90;28,25;28,68;964,58;43,99;40,00;60,00
29,47;38,11;965,40;28,21;963,80;28,80;29,39;49,90;28,25;28,68;964,60;44,00;40,00;61,00
29,48;38,10;965,38;28,22;963,87;28,80;29,39;49,90;28,25;28,69;964,62;44,00;40,00;60,00
29,48;38,04;965,37;28,22;963,84;28,80;29,39;49,90;28,25;28,69;964,61;43,97;40,00;60,00
29,48;37,95;965,39;28,21;963,78;28,80;29,39;49,90;28,25;28,68;964,58;43,92;40,00;60,00
29,48;37,86;965,40;28,22;963,81;28,80;29,39;49,90;28,25;28,69;964,61;43,88;39,00;59,00
29,47;37,81;965,35;28,22;963,83;28,80;29,38;49,80;28,25;28,68;964,59;43,81;39,00;60,00
29,48;37,82;965,38;28,22;963,82;28,80;29,38;49,80;28,25;28,69;964,60;43,81;38,00;60,00
29,47;37,71;965,33;28,23;963,87;28,80;29,37;49,70;28,25;28,69;964,60;43,70;39,00;60,00
29,46;37,58;965,29;28,22;963,83;28,80;29,37;49,70;28,25;28,68;964,56;43,64;39,00;60,00
29,47;37,56;965,37;28,23;963,83;28,90;29,47;49,50;28,25;28,71;964,60;43,53;39,00;60,00
29,47;37,52;965,37;28,21;963,78;28,90;29,47;49,50;28,25;28,71;964,58;43,51;38,00;60,00
29,47;37,50;965,35;28,22;963,82;28,90;29,46;49,40;28,75;28,83;964,58;43,45;40,00;60,00
29,48;37,46;965,33;28,23;963,79;28,90;29,46;49,40;28,75;28,84;964,56;43,43;41,00;60,00
29,48;37,45;965,38;28,23;963,83;28,90;29,45;49,30;28,75;28,84;964,61;43,38;40,00;60,00
29,48;37,43;965,40;28,24;963,82;28,90;29,45;49,30;28,75;28,84;964,61;43,36;41,00;60,00
29,49;37,42;965,38;28,23;963,77;28,90;29,44;49,20;28,75;28,84;964,57;43,31;40,00;60,00
29,49;37,38;965,35;28,26;963,88;28,90;29,44;49,20;28,75;28,85;964,62;43,29;41,00;61,00
29,48;37,34;965,38;28,25;963,86;28,90;29,44;49,20;28,75;28,85;964,62;43,27;41,00;60,00
29,47;37,29;965,41;28,24;963,80;28,90;29,44;49,20;28,75;28,84;964,60;43,25;40,00;60,00
29,47;37,28;965,40;28,25;963,82;28,80;29,30;49,10;28,75;28,82;964,61;43,19;41,00;60,00
29,47;37,28;965,39;28,24;963,83;28,80;29,30;49,10;28,75;28,82;964,61;43,19;41,00;60,00
29,47;37,28;965,38;28,22;963,75;28,90;29,41;49,00;28,75;28,84;964,57;43,14;41,00;60,00
29,47;37,28;965,37;28,24;963,80;28,90;29,41;49,00;28,75;28,84;964,59;43,14;41,00;60,00
29,47;37,29;965,36;28,25;963,81;28,90;29,41;49,00;28,75;28,84;964,59;43,15;41,00;60,00
29,48;37,31;965,34;28,25;963,82;28,90;29,41;49,00;28,75;28,84;964,58;43,16;41,00;60,00
29,48;37,34;965,33;28,24;963,82;28,90;29,41;49,00;28,75;28,84;964,58;43,17;41,00;60,00
29,48;37,33;965,39;28,24;963,84;28,90;29,41;49,00;28,75;28,84;964,61;43,16;41,00;60,00
29,48;37,33;965,36;28,25;963,78;28,90;29,41;49,00;28,75;28,84;964,57;43,16;41,00;59,00
29,47;37,34;965,36;28,24;963,81;28,90;29,41;49,00;28,75;28,84;964,58;43,17;41,00;60,00
29,48;37,35;965,33;28,23;963,81;28,90;29,41;49,00;28,75;28,84;964,57;43,17;40,00;60,00
29,47;37,35;965,40;28,23;963,80;28,90;29,41;49,00;28,75;28,84;964,60;43,17;41,00;61,00
29,48;37,36;965,39;28,22;963,76;28,80;29,29;49,00;28,75;28,81;964,57;43,18;41,00;60,00
29,48;37,37;965,36;28,22;963,78;28,80;29,29;49,00;28,75;28,81;964,57;43,19;41,00;60,00
29,49;37,37;965,32;28,24;963,81;28,90;29,43;49,10;28,75;28,85;964,56;43,24;41,00;60,00
29,49;37,37;965,41;28,23;963,80;28,90;29,43;49,10;28,75;28,84;964,60;43,24;41,00;60,00
29,49;37,40;965,32;28,23;963,79;28,90;29,43;49,10;28,75;28,84;964,55;43,25;40,00;59,00
29,50;37,41;965,30;28,25;963,78;28,90;29,43;49,10;28,75;28,85;964,54;43,25;40,00;60,00
29,50;37,43;965,30;28,25;963,78;28,90;29,43;49,10;28,75;28,85;964,54;43,26;41,00;60,00
29,50;37,42;965,33;28,25;963,78;28,90;29,43;49,10;28,75;28,85;964,55;43,26;41,00;60,00
29,51;37,42;965,31;28,26;963,80;28,90;29,43;49,10;28,75;28,85;964,55;43,26;41,00;60,00
29,50;37,42;965,35;28,26;963,78;28,90;29,43;49,10;28,75;28,85;964,57;43,26;41,00;60,00
29,52;37,44;965,32;28,25;963,72;28,90;29,43;49,10;28,75;28,85;964,52;43,27;41,00;60,00
29,51;37,43;965,32;28,26;963,73;28,90;29,43;49,10;28,75;28,86;964,52;43,27;40,00;61,00
29,52;37,43;965,39;28,26;963,78;28,90;29,43;49,10;28,75;28,86;964,58;43,27;41,00;60,00
29,52;37,43;965,38;28,26;963,75;28,90;29,43;49,10;28,75;28,86;964,57;43,27;41,00;60,00
29,48;37,47;965,28;28,26;963,77;28,90;29,43;49,10;28,75;28,85;964,52;43,29;41,00;59,00
