BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
26,98;65,62;95,77;26,16;95,53;26,90;29,17;75,90;26,25;26,57;95,65;70,76;84,00;60,00;28,00;62,00
26,99;65,53;95,77;26,14;95,52;26,90;29,17;75,90;26,25;26,57;95,64;70,71;84,00;60,00;24,00;54,00
26,99;65,41;95,76;26,16;95,53;26,90;29,41;78,80;26,25;26,57;95,64;72,11;82,00;61,00;20,00;48,00
27,00;65,56;95,77;26,15;95,53;26,90;29,41;78,80;26,25;26,58;95,65;72,18;82,00;60,00;18,00;44,00
27,00;65,28;95,76;26,15;95,53;26,90;29,41;78,80;26,25;26,58;95,65;72,04;81,00;60,00;16,00;40,00
27,00;64,48;95,77;26,14;95,53;26,90;29,41;78,80;26,25;26,57;95,65;71,64;80,00;62,00;15,00;38,00
27,00;64,06;95,77;26,14;95,53;26,90;29,41;78,80;26,25;26,57;95,65;71,43;82,00;59,00;14,00;36,00
27,00;63,72;95,77;26,14;95,53;26,90;29,41;78,80;26,25;26,57;95,65;71,26;82,00;60,00;14,00;34,00
27,00;63,38;95,77;26,13;95,53;26,90;29,35;78,10;26,25;26,57;95,65;70,74;82,00;61,00;13,00;32,00
27,00;63,06;95,76;26,14;95,53;26,90;29,35;78,10;26,25;26,57;95,65;70,58;82,00;60,00;12,00;31,00
27,00;62,66;95,77;26,14;95,53;26,90;29,28;77,20;26,25;26,57;95,65;69,93;82,00;60,00;12,00;30,00
27,00;62,22;95,77;26,14;95,53;26,90;29,28;77,20;26,25;26,57;95,65;69,71;83,00;60,00;11,00;29,00
27,00;61,94;95,77;26,13;95,53;26,90;29,21;76,40;26,25;26,57;95,65;69,17;82,00;61,00;11,00;27,00
27,00;61,69;95,77;26,13;95,53;26,90;29,21;76,40;26,25;26,57;95,65;69,05;82,00;60,00;11,00;27,00
27,00;61,55;95,77;26,14;95,54;26,90;29,14;75,60;26,25;26,57;95,65;68,57;82,00;60,00;10,00;26,00
27,00;61,38;95,77;26,13;95,54;26,90;29,14;75,60;26,25;26,57;95,65;68,49;82,00;60,00;10,00;25,00
27,00;61,29;95,77;26,13;95,53;26,90;29,07;74,80;26,25;26,57;95,65;68,05;82,00;60,00;10,00;24,00
27,00;61,24;95,77;26,13;95,53;26,90;29,07;74,80;26,25;26,57;95,65;68,02;81,00;60,00;10,00;24,00
27,01;61,16;95,77;26,12;95,53;26,90;29,01;74,00;26,25;26,57;95,65;67,58;81,00;60,00;10,00;23,00
27,01;61,08;95,77;26,12;95,53;26,90;29,01;74,00;26,25;26,57;95,65;67,54;81,00;60,00;10,00;22,00
27,01;60,99;95,77;26,13;95,54;26,90;28,97;73,50;26,25;26,57;95,65;67,25;81,00;61,00;9,00;22,00
27,01;60,89;95,76;26,13;95,53;26,90;28,97;73,50;26,25;26,57;95,65;67,20;81,00;60,00;9,00;21,00
27,02;60,82;95,77;26,13;95,53;26,90;28,94;73,10;26,25;26,57;95,65;66,96;81,00;60,00;9,00;21,00
27,02;60,75;95,77;26,13;95,54;26,90;28,94;73,10;26,25;26,58;95,65;66,92;81,00;60,00;9,00;20,00
27,02;60,70;95,77;26,14;95,53;26,90;28,90;72,70;26,25;26,58;95,65;66,70;82,00;60,00;9,00;20,00
27,03;60,61;95,77;26,13;95,53;26,90;28,90;72,70;26,75;26,70;95,65;66,66;81,00;60,00;9,00;20,00
27,03;60,61;95,77;26,13;95,53;26,90;28,88;72,40;26,75;26,70;95,65;66,51;81,00;60,00;9,00;19,00
27,03;60,58;95,77;26,14;95,53;26,90;28,88;72,40;26,75;26,70;95,65;66,49;81,00;61,00;8,00;19,00
27,03;60,53;95,77;26,14;95,53;26,90;28,87;72,30;26,75;26,70;95,65;66,41;80,00;60,00;8,00;18,00
27,04;60,44;95,77;26,14;95,53;26,90;28,87;72,30;26,75;26,71;95,65;66,37;82,00;60,00;8,00;18,00
27,04;60,33;95,76;26,12;95,52;26,90;28,86;72,20;26,75;26,70;95,64;66,27;82,00;60,00;8,00;18,00
27,04;60,18;95,77;26,13;95,53;26,90;28,86;72,20;26,75;26,70;95,65;66,19;82,00;60,00;8,00;18,00
27,04;60,10;95,76;26,13;95,53;26,90;28,84;71,90;26,75;26,70;95,65;66,00;82,00;60,00;8,00;17,00
27,04;60,02;95,77;26,12;95,53;26,90;28,84;71,90;26,75;26,70;95,65;65,96;82,00;60,00;8,00;17,00
27,05;59,98;95,77;26,13;95,53;26,90;28,82;71,70;26,75;26,71;95,65;65,84;82,00;60,00;8,00;17,00
27,05;59,90;95,77;26,14;95,54;26,90;28,82;71,70;26,75;26,71;95,65;65,80;82,00;60,00;8,00;16,00
27,06;59,85;95,76;26,14;95,53;26,90;28,81;71,50;26,75;26,71;95,65;65,67;82,00;60,00;8,00;16,00
27,06;59,81;95,77;26,14;95,53;26,90;28,81;71,50;26,75;26,71;95,65;65,66;82,00;60,00;7,00;16,00
