BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
28,51;49,91;96,51;27,35;60,43;28,20;30,05;62,50;27,75;27,95;78,47;56,21;80,00;59,00;6,00;6,00;72,90
28,51;49,75;96,51;27,36;60,44;28,20;30,12;63,00;27,75;27,95;78,47;56,38;80,00;59,00;6,00;6,00;127,10
28,51;49,58;96,51;27,36;60,44;28,20;30,12;63,00;27,75;27,95;78,47;56,29;80,00;59,00;6,00;6,00;72,90
28,52;49,62;96,51;27,37;60,44;28,20;30,21;63,70;27,75;27,96;78,48;56,66;80,00;59,00;6,00;6,00;127,20
28,52;49,89;96,51;27,36;60,44;28,20;30,21;63,70;27,75;27,96;78,47;56,79;81,00;59,00;6,00;6,00;72,80
28,52;50,23;96,51;27,38;60,45;28,20;30,41;65,30;27,75;27,96;78,48;57,76;80,00;59,00;6,00;6,00;127,20
28,53;50,19;96,51;27,38;60,45;28,20;30,41;65,30;27,75;27,97;78,48;57,75;80,00;59,00;6,00;6,00;72,80
28,52;49,96;96,51;27,38;60,45;28,20;30,41;65,30;27,75;27,96;78,48;57,63;80,00;59,00;6,00;6,00;100,10
28,52;49,60;96,51;27,39;60,46;28,20;30,52;66,10;27,75;27,97;78,48;57,85;81,00;59,00;6,00;6,00;127,00
28,52;49,34;96,50;27,38;60,45;28,20;30,52;66,10;27,75;27,96;78,48;57,72;81,00;59,00;6,00;6,00;72,90
28,53;49,16;96,51;27,39;60,46;28,20;30,44;65,50;27,75;27,97;78,48;57,33;80,00;59,00;6,00;6,00;127,10
28,53;49,06;96,51;27,37;60,44;28,20;30,44;65,50;27,75;27,96;78,48;57,28;80,00;59,00;6,00;6,00;72,90
28,53;49,06;96,51;27,38;60,45;28,20;30,37;65,00;27,75;27,97;78,48;57,03;80,00;59,00;6,00;6,00;127,20
28,53;49,00;96,51;27,38;60,45;28,20;30,37;65,00;27,75;27,97;78,48;57,00;80,00;59,00;6,00;6,00;72,80
