Temperatur (in C);Luftfeuchtigkeit (in %);Luftdruck (in hPa);Helligkeit (0%-100%);CO2-Level (ppm);Lautstärke (#Einheit)
0.00;0.00;0.00;76.00;11575.35;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;68.00;11042.94;4.00
0.00;0.00;0.00;69.00;11042.94;4.00
0.00;0.00;0.00;76.00;11042.94;4.00
0.00;0.00;0.00;76.00;11042.94;4.00
0.00;0.00;0.00;76.00;11042.94;4.00
0.00;0.00;0.00;76.00;11042.94;4.00
0.00;0.00;0.00;76.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11042.94;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;11575.35;4.00
0.00;0.00;0.00;77.00;12124.10;4.00
0.00;0.00;0.00;78.00;11575.35;4.00
