Value;Average
8408924;8408924
8408931;8408927
8409256;8409037
8409348;8409114
8409084;8409108
8408935;8409079
8408943;8409060
8408922;8409042
8408911;8409028
8409090;8409034
8409257;8409054
8409291;8409074
8409290;8409090
8409339;8409108
8409315;8409122
8409313;8409134
8409318;8409145
8409347;8409156
8409357;8409166
8409308;8409173
8409225;8409176
8408935;8409165
8408841;8409151
8408824;8409137
8408811;8409124
8408793;8409111
8408801;8409100
8408780;8409088
8408788;8409078
8408821;8409069
8408894;8409064
8408949;8409060
8408831;8409053
8408792;8409046
8408741;8409037
8408753;8409029
8408753;8409021
8408767;8409015
8408784;8409009
8408806;8409004
8408823;8408999
8408823;8408995
8408809;8408991
8408813;8408987
8408810;8408983