Value;Average
8832600;8832600
8832626;8832613
8832627;8832617
8832626;8832619
8832618;8832619
8832615;8832618
8832630;8832620
8832644;8832623
8832647;8832625
8832639;8832627
8832657;8832629
8832662;8832632
8832662;8832634
8832661;8832636
8832659;8832638
8832676;8832640
8832670;8832642
8832663;8832643
8832665;8832644
8832661;8832645
8832660;8832646
8832666;8832647
8832647;8832647
8832646;8832646
8832651;8832647
8832661;8832647
8832661;8832648
8832655;8832648
8832664;8832648
8832665;8832649
8832663;8832649
8832666;8832650
8832671;8832651
8832674;8832651
8832687;8832652
8832682;8832653
8832680;8832654
8832680;8832654
8832699;8832656
8832707;8832657
8832706;8832658
8832705;8832659
8832709;8832660
8832711;8832661
8832722;8832663
8832706;8832664
8832703;8832665
8832708;8832665
8832690;8832666
8832681;8832666
8832686;8832667
8832678;8832667
8832696;8832667
8832676;8832667
8832689;8832668
8832686;8832668
8832678;8832668
8832691;8832669
8832686;8832669
8832697;8832669
8832691;8832670
8832704;8832670
8832675;8832670