Batteriespannung;Luftdruck;CO²-Wert;Helligkeit;Luftfeuchtigkeit;Temperatur(Durchschnitt);Gefühlte temperatur;Windgeschwindigkeit;Temperatur(DHT);Temperatur(DHT-KORRIGIERT);Temperatur(BMP)
0,00;1031,06;432,00;262,00;58,30;20,12;25,08;0,00;25,00;17,56;22,67
0,00;1031,09;463,00;261,00;58,30;20,12;25,08;0,00;25,00;17,56;22,67
0,00;1031,03;164,00;276,00;58,30;20,12;25,08;0,00;25,00;17,56;22,68
0,00;1031,10;505,00;471,00;58,30;20,12;25,08;0,00;25,00;17,56;22,69
0,00;1031,11;561,00;539,00;58,40;20,12;25,08;0,00;25,00;17,56;22,69
0,00;1031,14;383,00;543,00;58,40;20,13;25,08;0,00;25,00;17,56;22,69
0,00;1031,11;309,00;569,00;58,40;20,13;25,08;0,00;25,00;17,56;22,69
0,00;1031,16;665,00;575,00;58,40;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,13;654,00;585,00;58,30;20,14;25,08;0,00;25,00;17,56;22,71
8,00;1031,14;334,00;521,00;58,30;20,14;25,08;0,00;25,00;17,56;22,71
8,00;1031,14;643,00;531,00;58,30;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,11;326,00;523,00;58,30;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,12;296,00;335,00;58,30;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,10;445,00;277,00;58,30;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,11;481,00;278,00;58,30;20,14;25,08;0,00;25,00;17,56;22,73
8,00;1031,12;253,00;284,00;58,30;20,14;25,08;0,00;25,00;17,56;22,72
8,00;1031,11;275,00;507,00;58,20;20,14;25,07;0,00;25,00;17,56;22,73
8,00;1031,12;485,00;555,00;58,20;20,14;25,07;0,00;25,00;17,56;22,73
8,00;1031,15;429,00;560,00;58,20;20,15;25,07;0,00;25,00;17,56;22,75
8,00;1031,10;649,00;564,00;58,20;20,16;25,07;0,00;25,00;17,56;22,76
8,00;1031,11;584,00;553,00;58,20;20,23;25,18;0,00;25,10;17,66;22,80
8,00;1031,09;545,00;495,00;58,20;20,23;25,18;0,00;25,10;17,66;22,80
8,00;1031,07;469,00;399,00;58,20;20,23;25,18;0,00;25,10;17,66;22,80
8,00;1031,08;402,00;401,00;58,20;20,23;25,18;0,00;25,10;17,66;22,79
8,00;1031,05;379,00;395,00;58,20;20,22;25,18;0,00;25,10;17,66;22,79
8,00;1031,07;387,00;397,00;58,20;20,22;25,18;0,00;25,10;17,66;22,78
8,00;1031,04;370,00;400,00;58,20;20,22;25,18;0,00;25,10;17,66;22,78
8,00;1031,06;378,00;397,00;58,20;20,22;25,18;0,00;25,10;17,66;22,77
8,00;1031,14;374,00;362,00;58,30;20,22;25,19;0,00;25,10;17,66;22,79
8,00;1031,06;362,00;383,00;58,30;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,06;383,00;398,00;58,30;20,22;25,19;0,00;25,10;17,66;22,77
8,00;1031,09;369,00;401,00;58,30;20,22;25,19;0,00;25,10;17,66;22,78
8,00;1031,13;379,00;398,00;58,30;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,16;384,00;397,00;58,30;20,22;25,19;0,00;25,10;17,66;22,78
8,00;1031,08;361,00;356,00;58,30;20,22;25,19;0,00;25,10;17,66;22,77
8,00;1031,08;333,00;255,00;58,30;20,22;25,19;0,00;25,10;17,66;22,78
8,00;1031,05;312,00;256,00;58,30;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,02;304,00;253,00;58,30;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,04;300,00;253,00;58,30;20,22;25,19;0,00;25,10;17,66;22,77
8,00;1031,11;307,00;269,00;58,30;20,22;25,19;0,00;25,10;17,66;22,78
8,00;1031,04;351,00;394,00;58,20;20,21;25,18;0,00;25,10;17,66;22,75
8,00;1031,07;355,00;394,00;58,20;20,22;25,18;0,00;25,10;17,66;22,77
8,00;1031,01;371,00;395,00;58,20;20,21;25,18;0,00;25,10;17,66;22,76
8,00;1031,02;363,00;381,00;58,20;20,22;25,18;0,00;25,10;17,66;22,78
8,00;1031,05;368,00;396,00;58,40;20,22;25,19;0,00;25,10;17,66;22,77
8,00;1031,07;380,00;389,00;58,40;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,03;329,00;262,00;58,40;20,21;25,19;0,00;25,10;17,66;22,75
8,00;1031,00;330,00;257,00;58,40;20,21;25,19;0,00;25,10;17,66;22,76
8,00;1031,03;370,00;262,00;58,80;20,21;25,20;0,00;25,10;17,66;22,76
8,00;1031,04;366,00;262,00;58,80;20,22;25,20;0,00;25,10;17,66;22,77
8,00;1031,00;372,00;261,00;58,80;20,21;25,20;0,00;25,10;17,66;22,75
8,00;1031,05;356,00;253,00;58,80;20,21;25,20;0,00;25,10;17,66;22,76
8,00;1031,04;356,00;261,00;59,00;20,20;25,21;0,00;25,10;17,66;22,74
8,00;1031,00;337,00;257,00;59,00;20,20;25,21;0,00;25,10;17,66;22,74
8,00;1031,05;324,00;253,00;59,00;20,19;25,21;0,00;25,10;17,66;22,73
8,00;1031,09;321,00;255,00;59,00;20,19;25,21;0,00;25,10;17,66;22,73
8,00;1031,08;316,00;253,00;58,90;20,19;25,20;0,00;25,10;17,66;22,73
8,00;1031,09;316,00;258,00;58,90;20,19;25,20;0,00;25,10;17,66;22,71
8,00;1031,09;347,00;375,00;58,90;20,18;25,20;0,00;25,10;17,66;22,70
8,00;1031,10;357,00;410,00;58,90;20,18;25,20;0,00;25,10;17,66;22,70
8,00;1031,16;354,00;442,00;58,70;20,23;25,31;0,00;25,20;17,76;22,70
8,00;1031,11;360,00;487,00;58,70;20,23;25,31;0,00;25,20;17,76;22,70
8,00;1031,11;397,00;560,00;58,70;20,23;25,31;0,00;25,20;17,76;22,69
8,00;1031,12;409,00;571,00;58,70;20,23;25,31;0,00;25,20;17,76;22,70
8,00;1031,09;403,00;531,00;58,60;20,23;25,31;0,00;25,20;17,76;22,69
8,00;1031,13;466,00;588,00;58,60;20,23;25,31;0,00;25,20;17,76;22,70
8,00;1031,11;480,00;616,00;58,60;20,23;25,31;0,00;25,20;17,76;22,70
8,00;1031,14;524,00;657,00;58,60;20,24;25,31;0,00;25,20;17,76;22,72
8,00;1031,12;513,00;607,00;58,50;20,24;25,30;0,00;25,20;17,76;22,72
8,00;1031,07;561,00;683,00;58,50;20,24;25,30;0,00;25,20;17,76;22,72
8,00;1031,04;579,00;691,00;58,50;20,24;25,30;0,00;25,20;17,76;22,73
8,00;1031,04;536,00;646,00;58,50;20,25;25,30;0,00;25,20;17,76;22,74
8,00;1031,04;506,00;615,00;58,50;20,25;25,30;0,00;25,20;17,76;22,75
8,00;1031,11;464,00;600,00;58,50;20,26;25,30;0,00;25,20;17,76;22,75
8,00;1031,10;527,00;672,00;58,50;20,25;25,30;0,00;25,20;17,76;22,75
8,00;1031,12;484,00;668,00;58,50;20,26;25,30;0,00;25,20;17,76;22,76
8,00;1031,10;488,00;688,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1031,02;522,00;674,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1030,97;642,00;691,00; NAN; NAN; NAN;0,00; NAN; NAN;22,79
8,00;1031,03;450,00;683,00; NAN; NAN; NAN;0,00; NAN; NAN;22,80
8,00;1031,23;423,00;466,00;58,30;20,29;25,30;0,00;25,20;17,76;22,82
8,00;1031,04;373,00;446,00;58,30;20,29;25,30;0,00;25,20;17,76;22,81
8,00;1031,08;411,00;498,00;58,30;20,29;25,30;0,00;25,20;17,76;22,82
8,00;1031,05;359,00;467,00;58,30;20,30;25,30;0,00;25,20;17,76;22,84
8,00;1031,06;464,00;463,00;58,30;20,36;25,41;0,00;25,30;17,86;22,86
8,00;1031,08;392,00;581,00;58,30;20,37;25,41;0,00;25,30;17,86;22,87
8,00;1031,04;494,00;501,00;58,30;20,37;25,41;0,00;25,30;17,86;22,88
8,00;1031,08;482,00;435,00;58,30;20,38;25,41;0,00;25,30;17,86;22,89
8,00;1031,04;542,00;586,00;58,40;20,37;25,41;0,00;25,30;17,86;22,88
8,00;1031,02;516,00;436,00;58,40;20,38;25,41;0,00;25,30;17,86;22,90
8,00;1031,04;450,00;421,00;58,40;20,39;25,41;0,00;25,30;17,86;22,92
8,00;1031,01;445,00;427,00;58,40;20,40;25,41;0,00;25,30;17,86;22,94
8,00;1031,04;409,00;429,00;58,60;20,41;25,42;0,00;25,30;17,86;22,96
8,00;1031,02;450,00;438,00;58,60;20,40;25,42;0,00;25,30;17,86;22,94
8,00;1031,02;388,00;439,00;58,60;20,41;25,42;0,00;25,30;17,86;22,96
8,00;1031,00;434,00;446,00;58,60;20,41;25,42;0,00;25,30;17,86;22,97
8,00;1031,00;402,00;473,00;58,70;20,43;25,42;0,00;25,30;17,86;22,99
8,00;1031,00;415,00;498,00;58,70;20,44;25,42;0,00;25,30;17,86;23,01
8,00;1030,99;617,00;500,00;58,70;20,44;25,42;0,00;25,30;17,86;23,03
8,00;1031,07;599,00;503,00;58,70;20,47;25,42;0,00;25,30;17,86;23,07
8,00;1030,97;550,00;421,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1030,94;552,00;425,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1031,03;547,00;414,00;58,80;20,47;25,42;0,00;25,30;17,86;23,08
8,00;1031,00;482,00;280,00;58,80;20,47;25,42;0,00;25,30;17,86;23,07
8,00;1030,98;421,00;274,00;58,90;20,51;25,53;0,00;25,40;17,96;23,06
8,00;1031,01;426,00;402,00;58,90;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1031,02;408,00;390,00;58,90;20,51;25,53;0,00;25,40;17,96;23,05
8,00;1031,08;359,00;309,00;58,90;20,52;25,53;0,00;25,40;17,96;23,08
8,00;1030,99;333,00;288,00;58,80;20,52;25,53;0,00;25,40;17,96;23,07
8,00;1030,97;328,00;279,00;58,80;20,51;25,53;0,00;25,40;17,96;23,06
8,00;1031,02;322,00;267,00;58,80;20,52;25,53;0,00;25,40;17,96;23,08
